FLAGS	en_US.utf8	zh_CN.utf8	location
	Arial,-1,13,5,75,0,0,0,0,0	Arial,-1,13,5,75,0,0,0,0,0	"panels/SmartSCADA/Wizard/Classification/Classification_Wizard_01.pnl
panels/SmartSCADA/Wizard/Classification/Classification_Wizard_02.pnl
panels/SmartSCADA/Wizard/Classification/Classification_Wizard_03.pnl
panels/SmartSCADA/Wizard/Classification/Classification_Wizard_04.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_CrossCorrelation.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_Handover.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_Session.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_TimeframeAnalysis.pnl
panels/SmartSCADA/Wizard/kpi/kpiTable.pnl
panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl
panels/SmartSCADA/Wizard/kpi/KPI_definition.pnl"
	Arial,-1,13,5,75,1,0,0,0,0	Arial,-1,13,5,75,1,0,0,0,0	panels/SmartSCADA/Wizard/Classification/Classification_Wizard_01.pnl
	Arial,-1,16,5,50,0,0,0,0,0	Arial,-1,16,5,50,0,0,0,0,0	panels/SmartSCADA/Wizard/kpi/KPI_definition.pnl
	Assign execution time to parameter	将执行时间分配给参数	panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl
	Average DPE Values	平均 DPE 值	msg/ssc_errors.cat
	Backup is running	Backup is running	dplist/dptexts.txt
	Blocking Manager	Blocking Manager	dplist/dptexts.txt
	Breaks suggested:	建议Breaks:	"panels/SmartSCADA/Wizard/DataMining/DataMining_CrossCorrelation.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_TimeframeAnalysis.pnl"
	CTRL@@	CTRL@@	dplist/dptexts.txt
	CTRL_2@@	CTRL_2@@	dplist/dptexts.txt
	Calculate	计算	panels/SmartSCADA/Wizard/kpi/kpiTable.pnl
	Calculate Clusters	簇计算	panels/SmartSCADA/Wizard/Classification/Classification_Wizard_02.pnl
	Calculate clusters	簇计算	panels/SmartSCADA/Wizard/Classification/Classification_Wizard_02.pnl
	Calculate model	计算模型	panels/SmartSCADA/Wizard/Classification/Classification_Wizard_03.pnl
	Calculate quality metrices 	计算质量指标	panels/SmartSCADA/Wizard/DataMining/DataMining_Session.pnl
	Calculate the selected KPI instance manually	手动计算选定的 KPI 实例	panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl
	Calculating clusters ...	计算集群...	msg/ssc_wizards.cat
	Calculating...	正在计算...	msg/ssc_wizards.cat
	Calculation ...	计算 ...	msg/ssc_wizards.cat
	Calculation done	计算完成	msg/ssc_wizards.cat
	Calculation failed	计算失败	msg/ssc_wizards.cat
	Calculation finished	计算完毕	msg/ssc_wizards.cat
	Calculation formula	计算公式	panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl
	Calculation in progress ...	计算中...	msg/ssc_wizards.cat
	Calculation of KPI instance active	计算 KPI 实例活动	panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl
	Calculation stopped	计算已停止	msg/ssc_wizards.cat
	Cancel	取消	"panels/SmartSCADA/Wizard/Classification/helper/labelEditor.pnl
msg/ssc_wizards.cat"
	Cannot connect to KPI parameter: 	无法连接到 KPI 参数：	msg/ssc_errors.cat
	Cannot connect to KPI trigger: 	无法连接到 KPI 触发器：	msg/ssc_errors.cat
	Cannot find node in plant model. KPI node will not be added to plant model. Node = 	在工厂模型中找不到节点。 KPI 节点不会添加到工厂模型中。节点 =	msg/ssc_errors.cat
	Cannot parse KPI trigger for dpQueryConnect: 	无法解析 dpQueryConnect 的 KPI 触发器：	msg/ssc_errors.cat
	Cannot parse context	无法解析上下文	msg/ssc_errors.cat
	Cannot parse context: 	无法解析上下文：	msg/ssc_errors.cat
	Cannot parse query parameters: 	无法解析查询参数：	msg/ssc_errors.cat
	Cannot parse trigger (runner type): 	无法解析触发器（运行器类型）：	msg/ssc_errors.cat
	Cannot parse trigger: 	无法解析触发器：	msg/ssc_errors.cat
	"Caution: In case of the usage of the time-parameter, it must contain a kpi function with a variable parameter of WinCC OA type ""time"". If not, please do not assign the parameter."	注意：在使用时间参数的情况下，它必须包含一个带有 WinCC OA 类型“时间”的可变参数的 kpi 函数。 如果不是，请不要分配参数。	panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl
	Changes will be discarded on selecting another session	选择另一个进程时将丢弃更改	msg/ssc_wizards.cat
	Changes will be lost on reselecting!	重新选择时更改将丢失！	msg/ssc_errors.cat
	Chart and details	图表和详细信息	"panels/SmartSCADA/Wizard/DataMining/DataMining_CrossCorrelation.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_TimeframeAnalysis.pnl"
	Check syntax	检查语法	panels/SmartSCADA/Wizard/kpi/KPI_definition.pnl
	Choose datamining session	选择数据挖掘进程	msg/ssc_wizards.cat
	Cl.	Cl.	msg/ssc_wizards.cat
	Classification	分类	msg/ssc_wizards.cat
	Classification test	Classification test	panels/SmartSCADA/Wizard/Classification/Classification_Wizard_04.pnl
	Clear Table	清空表格	panels/SmartSCADA/Wizard/Classification/Classification_Wizard_01.pnl
	Clear selections	清空所选择	panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl
	Cluster	簇	msg/ssc_wizards.cat
	Commands	Commands	dplist/dptexts.txt
	Commands@%s@	Commands@%s@	dplist/dptexts.txt
	Configuration database OK	Configuration database OK	dplist/dptexts.txt
	Configuration database has errors	Configuration database has errors	dplist/dptexts.txt
	Configure KPI instances	配置 KPI 实例	panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl
	Context	上下文	panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl
	Context can be DP type, DP, CNS nodes. Wildcards can be applied to DP and CNS nodes. Drag&Drop to the context from the DP selector is possible.	上下文可以是DP类型、DP、CNS节点。 通配符可以应用于 DP 和 CNS 节点。 可以从 DP 选择器拖放到上下文。	panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl
	Copy	复制	msg/ssc_wizards.cat
	Corr.	Corr.	panels/SmartSCADA/Wizard/DataMining/DataMining_CrossCorrelation.pnl
	Correction values	校正值	"panels/SmartSCADA/Wizard/DataMining/DataMining_CrossCorrelation.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_TimeframeAnalysis.pnl"
	Correlation coefficient	相关系数	panels/SmartSCADA/Wizard/DataMining/DataMining_CrossCorrelation.pnl
	Correlations	相关性	panels/SmartSCADA/Wizard/DataMining/DataMining_CrossCorrelation.pnl
	Could not create all KPI instances. $1 OK - $2 failed (see LogViewer).	无法创建所有 KPI 实例。 $1 OK - $2 失败（请参阅 LogViewer）。	msg/ssc_wizards.cat
	Count	计数	"panels/SmartSCADA/Wizard/Classification/Classification_Wizard_01.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_Session.pnl
panels/SmartSCADA/Wizard/kpi/kpiTable.pnl"
	Create	创建	panels/SmartSCADA/Wizard/kpi/KPI_definition.pnl
	Create new global configuration	创建新的全局配置	msg/ssc_wizards.cat
	Create new session	创建新会话	"panels/SmartSCADA/Wizard/Classification/Classification_Wizard_01.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_Session.pnl"
	DP Selector	DP 选择器	panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl
	DP selector	DP 选择器	msg/ssc_wizards.cat
	DPE	DPE	"panels/SmartSCADA/Wizard/Classification/Classification_Wizard_01.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_Handover.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_Session.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_TimeframeAnalysis.pnl"
	DPE $1 does not contain valid data	DPE $1 不包含有效数据	msg/ssc_wizards.cat
	DPE 1	DPE 1	panels/SmartSCADA/Wizard/DataMining/DataMining_CrossCorrelation.pnl
	DPE 1 Description	DPE 1 描述	panels/SmartSCADA/Wizard/DataMining/DataMining_CrossCorrelation.pnl
	DPE 2	DPE 2	panels/SmartSCADA/Wizard/DataMining/DataMining_CrossCorrelation.pnl
	DPE 2 Description	DPE 2 描述	panels/SmartSCADA/Wizard/DataMining/DataMining_CrossCorrelation.pnl
	DPE Description	DPE 描述	"panels/SmartSCADA/Wizard/Classification/Classification_Wizard_01.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_Handover.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_Session.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_TimeframeAnalysis.pnl"
	DPE for online parameter does not exist. Error with parameter 	在线参数的 DPE 不存在。参数错误	msg/ssc_errors.cat
	DPE value 	DPE 数值	panels/SmartSCADA/Wizard/DataMining/DataMining_TimeframeAnalysis.pnl
	Dashboard project	仪表板项目	msg/ssc_errors.cat
	Data point name	DP 名称	panels/SmartSCADA/Wizard/DataMining/DataMining_Session.pnl
	Data selection	数据选择	"panels/SmartSCADA/Wizard/DataMining/DataMining_Handover.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_TimeframeAnalysis.pnl"
	Data validation: At least 2 values needed ($1: $2 / $3: $4)	数据验证：至少需要 2 个值（$1：$2 / $3：$4）	msg/ssc_errors.cat
	Data validation: At least 2 values needed for calculation ($1: $2)	数据验证：计算至少需要 2 个值($1: $2)	msg/ssc_errors.cat
	Data validation: At least one value unequal 0 must be provided	数据验证：必须提供至少一个不等于 0 的值	msg/ssc_errors.cat
	Data validation: Time series must have same length ($1: $2 / $3: $4)	数据验证：时间序列必须具有相同的长度（$1: $2 / $3: $4）	msg/ssc_errors.cat
	Data visualization	数据可视化	panels/SmartSCADA/Wizard/Classification/Classification_Wizard_01.pnl
	Data@@	Data@@	dplist/dptexts.txt
	DataManager H2: Diskspace OK	DataManager H2: Diskspace OK	dplist/dptexts.txt
	DataManager H2: Entring emergency mode !	DataManager H2: Entring emergency mode !	dplist/dptexts.txt
	DataManager H2: Low disk space alert	DataManager H2: Low disk space alert	dplist/dptexts.txt
	DataManager H2: Low memory alert	DataManager H2: Low memory alert	dplist/dptexts.txt
	DataManager H2: Memory OK	DataManager H2: Memory OK	dplist/dptexts.txt
	DataManager H2: Normal mode	DataManager H2: Normal mode	dplist/dptexts.txt
	DataManager: Diskspace OK	DataManager: Diskspace OK	dplist/dptexts.txt
	DataManager: Low disk space alert	DataManager: Low disk space alert	dplist/dptexts.txt
	DataManager: Low memory alert	DataManager: Low memory alert	dplist/dptexts.txt
	DataManager: Memory OK	DataManager: Memory OK	dplist/dptexts.txt
	DataManager: Normal mode	DataManager: Normal mode	dplist/dptexts.txt
	DataManager: Switching to emergency mode !	DataManager: Switching to emergency mode !	dplist/dptexts.txt
	Data_2@@	Data_2@@	dplist/dptexts.txt
	Database OK	Database OK	dplist/dptexts.txt
	Database repair failed	Database repair failed	dplist/dptexts.txt
	Datapoint does not exist.	数据点不存在。	msg/ssc_errors.cat
	Datapointname contains invalid characters	数据点名称包含无效字符	msg/ssc_errors.cat
	Datapoints	DP	"panels/SmartSCADA/Wizard/Classification/Classification_Wizard_01.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_Session.pnl
panels/SmartSCADA/Wizard/kpi/kpiTable.pnl
panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl"
	Datapointtypes have been found. SmartSCADA should be working.	已找到数据点类型。 SmartSCADA 应该可以工作。	msg/ssc_errors.cat
	Dde@@	Dde@@	dplist/dptexts.txt
	Dde_2@@	Dde_2@@	dplist/dptexts.txt
	Debug	调试	msg/fwWebViewPlus.cat
	Defines the interval for an equidistant time series	定义等距时间序列的间隔	panels/SmartSCADA/Wizard/DataMining/DataMining_Session.pnl
	Defines the trigger for calculating KPI instance.	定义计算 KPI 实例的触发器。	panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl
	Delected selected KPI(s)	选定的选定 KPI）	panels/SmartSCADA/Wizard/kpi/KPI_definition.pnl
	Delete	删除	"panels/SmartSCADA/Wizard/Classification/Classification_Wizard_01.pnl
panels/SmartSCADA/Wizard/kpi/KPI_definition.pnl
msg/ssc_wizards.cat"
	Delete Selected Line	删除选定行	panels/SmartSCADA/Wizard/Classification/Classification_Wizard_01.pnl
	Delete all DPEs from table	从表中删除所有 DPE	panels/SmartSCADA/Wizard/DataMining/DataMining_Session.pnl
	Delete filter	删除过滤器	"panels/SmartSCADA/Wizard/DataMining/DataMining_Session.pnl
panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl"
	Delete labelset	删除标签	panels/SmartSCADA/Wizard/Classification/helper/labelEditor.pnl
	Delete selected DPE from table	从表中删除选定的 DPE	panels/SmartSCADA/Wizard/DataMining/DataMining_Session.pnl
	Delete selected KPI instance(s)	删除选定的 KPI 实例	panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl
	Delete selected KPI parameter	删除选定的 KPI 参数	panels/SmartSCADA/Wizard/kpi/KPI_definition.pnl
	Delete selected session(s)	删除选定的进程	"panels/SmartSCADA/Wizard/Classification/Classification_Wizard_01.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_Session.pnl"
	Description	描述	"panels/SmartSCADA/Wizard/kpi/kpiTable.pnl
panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl
panels/SmartSCADA/Wizard/kpi/KPI_definition.pnl"
	Device@@	Device@@	dplist/dptexts.txt
	Device_2@@	Device_2@@	dplist/dptexts.txt
	Discrete values	离散值	panels/SmartSCADA/Wizard/kpi/kpiTable.pnl
	Disk almost full	Disk almost full	dplist/dptexts.txt
	Disk full	Disk full	dplist/dptexts.txt
	Disk space OK	Disk space OK	dplist/dptexts.txt
	Display name filter	显示名称过滤器	"panels/SmartSCADA/Wizard/DataMining/DataMining_Session.pnl
panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl"
	Dist@@	Dist@@	dplist/dptexts.txt
	Dist_2@@	Dist_2@@	dplist/dptexts.txt
	Distance	距离	msg/ssc_wizards.cat
	Distance (summarized)	距离（总结）	msg/ssc_wizards.cat
	Do you want to delete $4 KPI instance(s)?	是否要删除 $4 的 KPI 实例？	msg/ssc_wizards.cat
	Done	完毕	msg/ssc_wizards.cat
	Dp Does Not Exist	dp 不存在	msg/fwWebViewPlus.cat
	Driver overloaded	Driver overloaded	dplist/dptexts.txt
	Driver@@	Driver@@	dplist/dptexts.txt
	Driver_2@@	Driver_2@@	dplist/dptexts.txt
	Due to missing parameters the context could not be resolved	由于缺少参数，无法解析上下文	msg/ssc_errors.cat
	Duplicate labels have been removed.	重复的标签已被删除。	msg/ssc_errors.cat
	Edit KPI parameter calculation formula	编辑KPI参数计算公式	panels/SmartSCADA/Wizard/kpi/KPI_definition.pnl
	Edit KPI parameters	编辑 KPI 参数	panels/SmartSCADA/Wizard/kpi/KPI_definition.pnl
	Edit labelset	编辑标签	panels/SmartSCADA/Wizard/Classification/Classification_Wizard_02.pnl
	Emergencymode	Emergencymode	dplist/dptexts.txt
	Empty labels have been removed.	空标签已被删除。	msg/ssc_errors.cat
	Enable lag detection	启用滞后探测	panels/SmartSCADA/Wizard/DataMining/DataMining_Session.pnl
	Enable lag detection. Time span (seconds)  used for searching a higher correlation coefficient.	启用滞后检测。 用于搜索更高相关系数的时间跨度（秒）。	panels/SmartSCADA/Wizard/DataMining/DataMining_Session.pnl
	Enhanced edit	增强编辑	panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl
	Enter comment for the KPI instance	输入 KPI 实例的注释	panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl
	Enter custom input values and click 'Prediction' to see which classifications would be calculated for the given values.	输入自定义输入值并单击“预测”以查看将为给定值计算哪些分类。	msg/ssc_wizards.cat
	Enter new KPI definition	输入新的 KPI 定义	panels/SmartSCADA/Wizard/kpi/KPI_definition.pnl
	Enter new KPI parameter	输入新的 KPI 参数	panels/SmartSCADA/Wizard/kpi/KPI_definition.pnl
	Enter session name and save	输入进程名称并保存	msg/ssc_wizards.cat
	Equidistant time intervals	等距时间间隔	"panels/SmartSCADA/Wizard/Classification/Classification_Wizard_01.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_Session.pnl"
	Error	Error	dplist/dptexts.txt
	Error deleting KPI: 	删除 KPI 时出错：	msg/ssc_errors.cat
	Error evaluating KPI instance. The instance is disabled. 	评估 KPI 实例时出错。实例被禁用。	msg/ssc_errors.cat
	Error matrix	Error matrix	panels/SmartSCADA/Wizard/Classification/Classification_Wizard_04.pnl
	Error occured	Error occured	dplist/dptexts.txt
	Error on creating SmartSCADA datapoints	创建 SmartSCADA 数据点时出错	msg/ssc_errors.cat
	Error on creating SmartSCADA datapointtypes	创建 SmartSCADA 数据点类型时出错	msg/ssc_errors.cat
	Error on data request or missing archived values	数据请求错误或缺少存档值	msg/ssc_wizards.cat
	Error preparing parameters for KPI instance: 	为 KPI 实例准备参数时出错：	msg/ssc_errors.cat
	Error rate	错误率	msg/ssc_wizards.cat
	Error registering configuration. Global configuration missing.	注册配置时出错。缺少全局配置。	msg/ssc_errors.cat
	Error removing KPI node from plant model: 	从工厂模型中删除 KPI 节点时出错：	msg/ssc_errors.cat
	Error saving KPI definition!	保存 KPI 定义时出错！	msg/ssc_errors.cat
	Error saving Random Forest Model	保存随机森林模型时出错	msg/ssc_wizards.cat
	Error when evaluating KPI instance: 	评估 KPI 实例时出错：	msg/ssc_errors.cat
	Estimating cluster number ...	估计集群数...	msg/ssc_wizards.cat
	Event@@	Event@@	dplist/dptexts.txt
	Event_2@@	Event_2@@	dplist/dptexts.txt
	Failed to remove timed function: 	删除定时功能失败：	msg/ssc_errors.cat
	Failed to unsubscribe KPI: 	退订KPI失败：	msg/ssc_errors.cat
	File Not Found	文件未找到	msg/fwWebViewPlus.cat
	Forecast	预测	msg/ssc_wizards.cat
	From	从	"panels/SmartSCADA/Wizard/Classification/Classification_Wizard_01.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_Session.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_TimeframeAnalysis.pnl"
	Function not defined	功能未定义	msg/ssc_wizards.cat
	Generate Timeframes	生成时间范围	panels/SmartSCADA/Wizard/DataMining/DataMining_TimeframeAnalysis.pnl
	Generate timeframes	生成时间框架	panels/SmartSCADA/Wizard/DataMining/DataMining_TimeframeAnalysis.pnl
	Geraet AUSSCHALTEN !	Geraet AUSSCHALTEN !	dplist/dptexts.txt
	Hide correlations below	隐藏下面的相关性	panels/SmartSCADA/Wizard/DataMining/DataMining_CrossCorrelation.pnl
	High alert occured	High alert occured	dplist/dptexts.txt
	High warning occured	High warning occured	dplist/dptexts.txt
	Highest Value	最大数值	panels/SmartSCADA/Wizard/DataMining/DataMining_Session.pnl
	Histogram	直方图	"panels/SmartSCADA/Wizard/DataMining/DataMining_CrossCorrelation.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_TimeframeAnalysis.pnl"
	How do you want to continue with the changes?	您希望如何继续进行更改？	msg/ssc_wizards.cat
	ID path:	ID path:	panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl
	Importance matrix	Importance matrix	panels/SmartSCADA/Wizard/Classification/Classification_Wizard_04.pnl
	Incorrect Url	不正确的网址	msg/fwWebViewPlus.cat
	Input parameter / DPE	Input parameter / DPE	panels/SmartSCADA/Wizard/Classification/Classification_Wizard_04.pnl
	Input parameter / DPE Description	Input parameter / DPE Description	panels/SmartSCADA/Wizard/Classification/Classification_Wizard_04.pnl
	Input values	输入值	msg/ssc_wizards.cat
	Insert the dpe path, dpe for context search (with leading dot) or constant for the parameter	插入 dpe 路径，用于上下文搜索的 dpe（带前导点）或参数的常量	panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl
	Invalid labelset name.	标签集名称无效。	msg/ssc_errors.cat
	JSON Parser Error	JSON 解析器错误	msg/fwWebViewPlus.cat
	Javascript Console Message	Javascript 控制台消息	msg/fwWebViewPlus.cat
	Javascript Debug	Javascript 调试	msg/fwWebViewPlus.cat
	Javascript Fatal	Javascript 致命	msg/fwWebViewPlus.cat
	Javascript Info	Javascript 信息	msg/fwWebViewPlus.cat
	Javascript Warning	Javascript 警告	msg/fwWebViewPlus.cat
	KPI	KPI	panels/SmartSCADA/Wizard/kpi/KPI_definition.pnl
	KPI Definition	关键绩效指标定义	panels/SmartSCADA/Wizard/kpi/KPI_definition.pnl
	KPI Instance could not be changed to single update mode: 	无法将 KPI 实例更改为单一更新模式：	msg/ssc_errors.cat
	KPI context (Configure multiple KPI instances)	KPI 上下文（配置多个 KPI 实例）	panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl
	KPI definition	KPI指标定义	panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl
	KPI does not exist!	KPI不存在！	msg/ssc_errors.cat
	KPI framework	关键绩效指标框架	msg/ssc_errors.cat
	KPI function must be defined.	必须定义 KPI 函数。	msg/ssc_errors.cat
	KPI instance	KPI 实例	panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl
	KPI instance does not exist: 	KPI 实例不存在：	msg/ssc_errors.cat
	KPI instance has been disabled	KPI 实例已禁用	msg/ssc_errors.cat
	KPI instance is already single updated. Further changes can only be applied in single update mode: 	KPI 实例已单独更新。进一步的更改只能在单一更新模式下应用：	msg/ssc_errors.cat
	KPI instance was disabled.	KPI instance was disabled.	dplist/dptexts.txt
	KPI instances	KPI 实例	"panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl
msg/ssc_wizards.cat"
